Acorn,Date,nb_pts,nb_clients,Conso_kWh
ACORN-E,2012-07-01,48,1341.02083333333,8.50171356600086
ACORN-E,2012-07-02,48,1348.77083333333,8.72765027923651
ACORN-E,2012-07-03,48,1339.77083333333,8.48988934954563
ACORN-E,2012-07-04,48,1339.10416666667,8.17353877763288
ACORN-E,2012-07-05,48,1375.54166666667,8.1592572700775
ACORN-E,2012-07-06,48,1393.125,8.34319407169233
ACORN-E,2012-07-07,48,1411.6875,8.36175406950066
ACORN-E,2012-07-08,48,1418.27083333333,8.98856795578906
ACORN-E,2012-07-09,48,1432.85416666667,8.62759025264418
ACORN-E,2012-07-10,48,1457.20833333333,8.42082828150929
ACORN-E,2012-07-11,48,1476.375,8.31229351922195
ACORN-E,2012-07-12,48,1490.25,8.23480078267337
ACORN-E,2012-07-13,48,1503.04166666667,8.16999570134805
ACORN-E,2012-07-14,48,1514.27083333333,8.37154480601552
ACORN-E,2012-07-15,48,1518.8125,8.38424893887832
ACORN-E,2012-07-16,48,1518.625,8.52240390492448
ACORN-E,2012-07-17,48,1518.47916666667,8.06810189135483
ACORN-E,2012-07-18,48,1519.39583333333,8.24442489808782
ACORN-E,2012-07-19,48,1519.9375,8.0712780460735
ACORN-E,2012-07-20,48,1521.33333333333,8.09502295271336
ACORN-E,2012-07-21,48,1521.97916666667,7.97360211467229
ACORN-E,2012-07-22,48,1522.0,8.07427463758213
ACORN-E,2012-07-23,48,1520.02083333333,7.80939622971406
ACORN-E,2012-07-24,48,1520.1875,7.73662661686905
ACORN-E,2012-07-25,48,1520.83333333333,7.88533699590507
ACORN-E,2012-07-26,48,1521.9375,7.7541863372174
ACORN-E,2012-07-27,48,1521.875,7.99279630868773
ACORN-E,2012-07-28,48,1521.02083333333,7.82572019141558
ACORN-E,2012-07-29,48,1521.0,8.26708415601578
ACORN-E,2012-07-30,48,1521.8125,7.84197417662368
ACORN-E,2012-07-31,48,1520.91666666667,7.99475320955583
ACORN-E,2012-08-01,48,1520.91666666667,7.8848090891369
ACORN-E,2012-08-02,48,1521.72916666667,7.69172213329506
ACORN-E,2012-08-03,48,1522.91666666667,7.795282179157
ACORN-E,2012-08-04,48,1522.58333333333,7.94268837389163
ACORN-E,2012-08-05,48,1522.875,8.37991468243255
ACORN-E,2012-08-06,48,1523.97916666667,8.00973388305635
ACORN-E,2012-08-07,48,1521.77083333333,8.00964217991407
ACORN-E,2012-08-08,48,1521.85416666667,7.75897328452718
ACORN-E,2012-08-09,48,1520.875,7.6371585716167
ACORN-E,2012-08-10,48,1522.66666666667,7.68725346354972
ACORN-E,2012-08-11,48,1522.72916666667,7.73363596649591
ACORN-E,2012-08-12,48,1523.95833333333,8.0929491666132
ACORN-E,2012-08-13,48,1523.85416666667,7.83135366092229
ACORN-E,2012-08-14,48,1522.41666666667,7.64852163368753
ACORN-E,2012-08-15,48,1521.91666666667,7.86948073338728
ACORN-E,2012-08-16,48,1522.95833333333,7.67701375506604
ACORN-E,2012-08-17,48,1521.45833333333,7.41106305577526
ACORN-E,2012-08-18,48,1522.91666666667,7.62444782249128
ACORN-E,2012-08-19,48,1520.97916666667,7.87956474509692
ACORN-E,2012-08-20,48,1519.91666666667,7.77197096745722
ACORN-E,2012-08-21,48,1521.45833333333,7.7285193349415
ACORN-E,2012-08-22,48,1521.95833333333,7.59440486641175
ACORN-E,2012-08-23,48,1523.91666666667,7.56183429561669
ACORN-E,2012-08-24,48,1521.89583333333,7.57671459001978
ACORN-E,2012-08-25,48,1520.04166666667,7.8198234837277
ACORN-E,2012-08-26,48,1522.91666666667,7.64153750364866
ACORN-E,2012-08-27,48,1523.72916666667,8.0578797164911
ACORN-E,2012-08-28,48,1522.0,7.83573753416743
ACORN-E,2012-08-29,48,1522.16666666667,8.14192341413161
ACORN-E,2012-08-30,48,1524.1875,8.23381399806165
ACORN-E,2012-08-31,48,1522.02083333333,7.91796462501529
ACORN-E,2012-09-01,48,1523.54166666667,8.01117529705142
ACORN-E,2012-09-02,48,1523.375,8.77766274119923
ACORN-E,2012-09-03,48,1524.97916666667,8.17533891948741
ACORN-E,2012-09-04,48,1524.45833333333,8.16020262626859
ACORN-E,2012-09-05,48,1524.97916666667,8.0343441008399
ACORN-E,2012-09-06,48,1524.5,7.92850128224785
ACORN-E,2012-09-07,48,1525.0,7.84642032839344
ACORN-E,2012-09-08,48,1524.9375,7.98876899444685
ACORN-E,2012-09-09,48,1523.79166666667,8.34107382679113
ACORN-E,2012-09-10,48,1525.0,8.4566006557377
ACORN-E,2012-09-11,48,1525.08333333333,8.15379090243284
ACORN-E,2012-09-12,48,1525.97916666667,8.3301211178588
ACORN-E,2012-09-13,48,1525.875,8.3286883202445
ACORN-E,2012-09-14,48,1525.95833333333,8.24396900280166
ACORN-E,2012-09-15,48,1526.0,8.22805111415465
ACORN-E,2012-09-16,48,1525.97916666667,8.86154918563058
ACORN-E,2012-09-17,48,1525.0,8.68758639515384
ACORN-E,2012-09-18,48,1526.83333333333,8.47381622568208
ACORN-E,2012-09-19,48,1526.0,8.65275224398452
ACORN-E,2012-09-20,48,1525.5625,8.73173747947996
ACORN-E,2012-09-21,48,1527.97916666667,8.92216311144752
ACORN-E,2012-09-22,48,1527.0,8.91642403065745
ACORN-E,2012-09-23,48,1526.625,10.5689685485921
ACORN-E,2012-09-24,48,1529.14583333333,9.80675196219801
ACORN-E,2012-09-25,48,1529.77083333333,9.44463016845665
ACORN-E,2012-09-26,48,1525.75,9.47987261528339
ACORN-E,2012-09-27,48,1530.0,9.40962374997569
ACORN-E,2012-09-28,48,1528.91666666667,9.28670152978685
ACORN-E,2012-09-29,48,1529.8125,9.32168574824404
ACORN-E,2012-09-30,48,1529.89583333333,10.2944903166716
ACORN-E,2012-10-01,48,1527.97916666667,9.69849088705951
ACORN-E,2012-10-02,48,1532.8125,9.55884087946461
ACORN-E,2012-10-03,48,1534.5625,9.47168158668271
ACORN-E,2012-10-04,48,1534.64583333333,9.50293957451972
ACORN-E,2012-10-05,48,1534.4375,9.53534979682508
ACORN-E,2012-10-06,48,1535.60416666667,9.50786514585861
ACORN-E,2012-10-07,48,1536.95833333333,10.2137187571197
ACORN-E,2012-10-08,48,1535.79166666667,10.4182588103338
ACORN-E,2012-10-09,48,1535.41666666667,9.9409568070846
ACORN-E,2012-10-10,48,1536.8125,9.82858206428657
ACORN-E,2012-10-11,48,1539.47916666667,10.2712599160703
ACORN-E,2012-10-12,48,1537.20833333333,9.84529990747694
ACORN-E,2012-10-13,48,1538.91666666667,10.2061475897938
ACORN-E,2012-10-14,48,1539.95833333333,10.8630162017317
ACORN-E,2012-10-15,48,1541.14583333333,10.4938348749275
ACORN-E,2012-10-16,48,1540.4375,10.1435598291009
ACORN-E,2012-10-17,48,1543.1875,10.0868702362863
ACORN-E,2012-10-18,48,1543.77083333333,9.75525370540638
ACORN-E,2012-10-19,48,1547.33333333333,10.2467055343943
ACORN-E,2012-10-20,48,1548.95833333333,9.9830448169714
ACORN-E,2012-10-21,48,1548.02083333333,10.840407477744
ACORN-E,2012-10-22,48,1551.0625,10.3450675737846
ACORN-E,2012-10-23,48,1552.3125,10.1758472876812
ACORN-E,2012-10-24,48,1554.14583333333,9.70876101627052
ACORN-E,2012-10-25,48,1554.89583333333,9.95281184217005
ACORN-E,2012-10-26,48,1557.02083333333,10.6709478401949
ACORN-E,2012-10-27,48,1558.91666666667,11.4488496631383
ACORN-E,2012-10-28,48,1557.5,12.3908506882924
ACORN-E,2012-10-29,48,1557.0,11.3928789394176
ACORN-E,2012-10-30,48,1557.375,11.1665514102928
ACORN-E,2012-10-31,48,1558.45833333333,11.1959592391731
ACORN-E,2012-11-01,48,1556.08333333333,11.2868905118732
ACORN-E,2012-11-02,48,1555.9375,11.3800960291083
ACORN-E,2012-11-03,48,1558.64583333333,11.6848046408958
ACORN-E,2012-11-04,48,1557.52083333333,13.0046517592003
ACORN-E,2012-11-05,48,1557.0,11.8490949449002
ACORN-E,2012-11-06,48,1557.6875,12.1819464056884
ACORN-E,2012-11-07,48,1557.89583333333,11.8504062345655
ACORN-E,2012-11-08,48,1551.54166666667,11.4372556377143
ACORN-E,2012-11-09,48,1556.66666666667,11.3539556599605
ACORN-E,2012-11-10,48,1557.6875,11.687926188073
ACORN-E,2012-11-11,48,1558.8125,12.2103859898435
ACORN-E,2012-11-12,48,1558.9375,11.8313791990953
ACORN-E,2012-11-13,48,1558.75,11.1306926580039
ACORN-E,2012-11-14,48,1557.97916666667,10.9857086543709
ACORN-E,2012-11-15,48,1558.60416666667,11.2059730567414
ACORN-E,2012-11-16,48,1558.27083333333,11.6231602503719
ACORN-E,2012-11-17,48,1559.0,11.8445381793449
ACORN-E,2012-11-18,48,1559.91666666667,12.3704750294552
ACORN-E,2012-11-19,48,1558.70833333333,11.9024602992275
ACORN-E,2012-11-20,48,1558.72916666667,11.6395174224226
ACORN-E,2012-11-21,48,1559.95833333333,11.7726125261207
ACORN-E,2012-11-22,48,1556.83333333333,11.4448877592623
ACORN-E,2012-11-23,48,1555.04166666667,11.2748765921023
ACORN-E,2012-11-24,48,1555.89583333333,12.4155595332429
ACORN-E,2012-11-25,48,1557.5,12.4913727882321
ACORN-E,2012-11-26,48,1555.52083333333,12.0561068443259
ACORN-E,2012-11-27,48,1554.66666666667,12.4917411960237
ACORN-E,2012-11-28,48,1558.66666666667,12.7180720255389
ACORN-E,2012-11-29,48,1558.5625,12.7921204443332
ACORN-E,2012-11-30,48,1557.72916666667,13.0054258380061
ACORN-E,2012-12-01,48,1557.97916666667,13.8283908058217
ACORN-E,2012-12-02,48,1557.95833333333,14.4302297242811
ACORN-E,2012-12-03,48,1556.39583333333,13.0552316252724
ACORN-E,2012-12-04,48,1556.77083333333,13.1499866142245
ACORN-E,2012-12-05,48,1558.33333333333,13.5833811859539
ACORN-E,2012-12-06,48,1558.02083333333,13.8995778472499
ACORN-E,2012-12-07,48,1558.97916666667,13.7399119219173
ACORN-E,2012-12-08,48,1559.75,13.4577921471028
ACORN-E,2012-12-09,48,1560.0,13.9221275644231
ACORN-E,2012-12-10,48,1559.89583333333,13.2902946150699
ACORN-E,2012-12-11,48,1455.85416666667,13.7999624499934
ACORN-E,2012-12-12,48,1556.20833333333,14.2090581954356
ACORN-E,2012-12-13,48,1558.83333333333,14.4667698568157
ACORN-E,2012-12-14,48,1557.77083333333,13.9741540804092
ACORN-E,2012-12-15,48,1557.83333333333,13.0650984201789
ACORN-E,2012-12-16,48,1558.625,13.2093206563573
ACORN-E,2012-12-17,48,1557.72916666667,12.4007588963121
ACORN-E,2012-12-18,48,1557.95833333333,12.392699508248
ACORN-E,2012-12-19,48,1558.0,12.9774935761232
ACORN-E,2012-12-20,48,1555.9375,12.7887703066913
ACORN-E,2012-12-21,48,1554.4375,12.0627705539718
ACORN-E,2012-12-22,48,1554.54166666667,12.2432708721152
ACORN-E,2012-12-23,48,1553.79166666667,11.4334131128331
ACORN-E,2012-12-24,48,1553.89583333333,11.444323249707
ACORN-E,2012-12-25,48,1554.77083333333,11.598292347182
ACORN-E,2012-12-26,48,1553.91666666667,11.001233516072
ACORN-E,2012-12-27,48,1553.875,11.5001483711006
ACORN-E,2012-12-28,48,1554.625,11.5776969493029
ACORN-E,2012-12-29,48,1553.83333333333,11.4250843404045
ACORN-E,2012-12-30,48,1554.875,11.636408198353
ACORN-E,2012-12-31,48,1554.0,11.8593602517878
ACORN-E,2013-01-01,48,1553.95833333333,11.8107301894964
ACORN-E,2013-01-02,48,1554.97916666667,12.3194731275427
ACORN-E,2013-01-03,48,1554.97916666667,11.699973423569
ACORN-E,2013-01-04,48,1553.89583333333,11.6105285231163
ACORN-E,2013-01-05,48,1554.97916666667,11.8968319183759
ACORN-E,2013-01-06,48,1552.875,12.6502549946793
ACORN-E,2013-01-07,48,1555.58333333333,12.0020803120994
ACORN-E,2013-01-08,48,1555.6875,11.6374169105435
ACORN-E,2013-01-09,48,1554.25,11.7875394534555
ACORN-E,2013-01-10,48,1555.83333333333,12.8062314614712
ACORN-E,2013-01-11,48,1554.64583333333,12.7966287244245
ACORN-E,2013-01-12,48,1555.375,13.6617205422087
ACORN-E,2013-01-13,48,1555.97916666667,14.4648030026893
ACORN-E,2013-01-14,48,1554.52083333333,14.2641491549597
ACORN-E,2013-01-15,48,1553.625,14.1629743239031
ACORN-E,2013-01-16,48,1553.47916666667,14.2422778748919
ACORN-E,2013-01-17,48,1553.85416666667,14.52445466407
ACORN-E,2013-01-18,48,1553.64583333333,15.272497146127
ACORN-E,2013-01-19,48,1554.97916666667,15.8125350551185
ACORN-E,2013-01-20,48,1554.6875,16.0504673995131
